Component,Mean Cost (M$),Std Dev (M$),CoV,Risk Level
Electrical Infrastructure,88.43275197816192,14.316278210511374,0.16188886911544623,High
PSA Oxygen Plant,76.58440681269087,9.194029726077408,0.12005093606801766,Medium
Surgical Bed Expansion,66.5964121334744,8.73383179465,0.13114568059830922,Low
Operational Costs,306.6506095435707,37.40821505373371,0.12198969736082829,Medium
